project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-3466,4,1075
ActiveMQ,AMQ-3473,1,0
ActiveMQ,AMQ-3481,17,2132
ActiveMQ,AMQ-3488,1,0
ActiveMQ,AMQ-3490,1,0
ActiveMQ,AMQ-3493,8,2080
ActiveMQ,AMQ-3497,2,13
ActiveMQ,AMQ-3501,1,0
ActiveMQ,AMQ-3504,12,2143
ActiveMQ,AMQ-3506,10,2065
ActiveMQ,AMQ-3507,6,1668
ActiveMQ,AMQ-3513,20,1894
ActiveMQ,AMQ-3514,12,1850
ActiveMQ,AMQ-3515,1,0
ActiveMQ,AMQ-3516,5,1509
ActiveMQ,AMQ-3517,16,2024
ActiveMQ,AMQ-3518,5,1884
ActiveMQ,AMQ-3523,1,0
ActiveMQ,AMQ-3524,3,663
ActiveMQ,AMQ-3526,1,0
